"global_step","ppo_reach-v2_0321_steps2e5_with_pretrain - _step","ppo_reach-v2_0321_steps2e5_with_pretrain - _step__MIN","ppo_reach-v2_0321_steps2e5_with_pretrain - _step__MAX","ppo_reach-v2_0321_steps2e5_with_pretrain - rollout/ep_rew_mean","ppo_reach-v2_0321_steps2e5_with_pretrain - rollout/ep_rew_mean__MIN","ppo_reach-v2_0321_steps2e5_with_pretrain - rollout/ep_rew_mean__MAX","ppo_reach-v2 - _step","ppo_reach-v2 - _step__MIN","ppo_reach-v2 - _step__MAX","ppo_reach-v2 - rollout/ep_rew_mean","ppo_reach-v2 - rollout/ep_rew_mean__MIN","ppo_reach-v2 - rollout/ep_rew_mean__MAX"
"2048","0","0","0","3412.509521484375","3412.509521484375","3412.509521484375","0","0","0","557.2074584960938","557.2074584960938","557.2074584960938"
"4096","1","1","1","3532.19873046875","3532.19873046875","3532.19873046875","1","1","1","639.60009765625","639.60009765625","639.60009765625"
"6144","2","2","2","3740.41796875","3740.41796875","3740.41796875","2","2","2","879.706298828125","879.706298828125","879.706298828125"
"8192","3","3","3","3941.296142578125","3941.296142578125","3941.296142578125","3","3","3","1387.911376953125","1387.911376953125","1387.911376953125"
"10240","4","4","4","4080.272705078125","4080.272705078125","4080.272705078125","4","4","4","1509.4581298828125","1509.4581298828125","1509.4581298828125"
"12288","5","5","5","4170.8193359375","4170.8193359375","4170.8193359375","5","5","5","1778.017822265625","1778.017822265625","1778.017822265625"
"14336","6","6","6","4221.52490234375","4221.52490234375","4221.52490234375","6","6","6","1889.4603271484375","1889.4603271484375","1889.4603271484375"
"16384","7","7","7","4284.48779296875","4284.48779296875","4284.48779296875","7","7","7","1967.969482421875","1967.969482421875","1967.969482421875"
"18432","8","8","8","4327.95458984375","4327.95458984375","4327.95458984375","8","8","8","2114.39111328125","2114.39111328125","2114.39111328125"
"20480","9","9","9","4356.443359375","4356.443359375","4356.443359375","9","9","9","2275.68798828125","2275.68798828125","2275.68798828125"
"22528","10","10","10","4385.78564453125","4385.78564453125","4385.78564453125","10","10","10","2429.74365234375","2429.74365234375","2429.74365234375"
"24576","11","11","11","4352.6259765625","4352.6259765625","4352.6259765625","11","11","11","2498.751953125","2498.751953125","2498.751953125"
"26624","12","12","12","4375.31982421875","4375.31982421875","4375.31982421875","12","12","12","2541.0546875","2541.0546875","2541.0546875"
"28672","13","13","13","4384.03564453125","4384.03564453125","4384.03564453125","13","13","13","2556.779052734375","2556.779052734375","2556.779052734375"
"30720","14","14","14","4380.18701171875","4380.18701171875","4380.18701171875","14","14","14","2613.858642578125","2613.858642578125","2613.858642578125"
"32768","15","15","15","4374.5283203125","4374.5283203125","4374.5283203125","15","15","15","2678.86767578125","2678.86767578125","2678.86767578125"
"34816","16","16","16","4346.4736328125","4346.4736328125","4346.4736328125","16","16","16","2726.250732421875","2726.250732421875","2726.250732421875"
"36864","17","17","17","4352.72705078125","4352.72705078125","4352.72705078125","17","17","17","2761.214111328125","2761.214111328125","2761.214111328125"
"38912","18","18","18","4371.2529296875","4371.2529296875","4371.2529296875","18","18","18","2807.73291015625","2807.73291015625","2807.73291015625"
"40960","19","19","19","4375.50244140625","4375.50244140625","4375.50244140625","19","19","19","2838.79638671875","2838.79638671875","2838.79638671875"
"43008","20","20","20","4397.20166015625","4397.20166015625","4397.20166015625","20","20","20","2926.826171875","2926.826171875","2926.826171875"
"45056","21","21","21","4391.04052734375","4391.04052734375","4391.04052734375","21","21","21","2980.28271484375","2980.28271484375","2980.28271484375"
"47104","22","22","22","4383.10791015625","4383.10791015625","4383.10791015625","22","22","22","3038.099609375","3038.099609375","3038.099609375"
"49152","23","23","23","4397.3486328125","4397.3486328125","4397.3486328125","23","23","23","3084.218505859375","3084.218505859375","3084.218505859375"
"51200","24","24","24","4424.0654296875","4424.0654296875","4424.0654296875","24","24","24","3175.956787109375","3175.956787109375","3175.956787109375"
"53248","25","25","25","4477.78759765625","4477.78759765625","4477.78759765625","25","25","25","3279.648193359375","3279.648193359375","3279.648193359375"
"55296","26","26","26","4511.61572265625","4511.61572265625","4511.61572265625","26","26","26","3418.341064453125","3418.341064453125","3418.341064453125"
"57344","27","27","27","4528.9150390625","4528.9150390625","4528.9150390625","27","27","27","3497.585693359375","3497.585693359375","3497.585693359375"
"59392","28","28","28","4535.60791015625","4535.60791015625","4535.60791015625","28","28","28","3561.751953125","3561.751953125","3561.751953125"
"61440","29","29","29","4542.796875","4542.796875","4542.796875","29","29","29","3630.021728515625","3630.021728515625","3630.021728515625"
"63488","30","30","30","4552.22314453125","4552.22314453125","4552.22314453125","30","30","30","3693.421142578125","3693.421142578125","3693.421142578125"
"65536","31","31","31","4554.6376953125","4554.6376953125","4554.6376953125","31","31","31","3777.88037109375","3777.88037109375","3777.88037109375"
"67584","32","32","32","4557.03955078125","4557.03955078125","4557.03955078125","32","32","32","3850.216064453125","3850.216064453125","3850.216064453125"
"69632","33","33","33","4563.595703125","4563.595703125","4563.595703125","33","33","33","3888.501708984375","3888.501708984375","3888.501708984375"
"71680","34","34","34","4573.0185546875","4573.0185546875","4573.0185546875","34","34","34","3929.9853515625","3929.9853515625","3929.9853515625"
"73728","35","35","35","4576.787109375","4576.787109375","4576.787109375","35","35","35","3955.78173828125","3955.78173828125","3955.78173828125"
"75776","36","36","36","4609.1953125","4609.1953125","4609.1953125","36","36","36","4020.5771484375","4020.5771484375","4020.5771484375"
"77824","37","37","37","4614.94189453125","4614.94189453125","4614.94189453125","37","37","37","4094.451416015625","4094.451416015625","4094.451416015625"
"79872","38","38","38","4640.87548828125","4640.87548828125","4640.87548828125","38","38","38","4150.482421875","4150.482421875","4150.482421875"
"81920","39","39","39","4644.3427734375","4644.3427734375","4644.3427734375","39","39","39","4203.28857421875","4203.28857421875","4203.28857421875"
"83968","40","40","40","4664.6396484375","4664.6396484375","4664.6396484375","40","40","40","4235.640625","4235.640625","4235.640625"
"86016","41","41","41","4712.25830078125","4712.25830078125","4712.25830078125","41","41","41","4315.76513671875","4315.76513671875","4315.76513671875"
"88064","42","42","42","4716.43896484375","4716.43896484375","4716.43896484375","42","42","42","4365.265625","4365.265625","4365.265625"
"90112","43","43","43","4730.083984375","4730.083984375","4730.083984375","43","43","43","4420.83837890625","4420.83837890625","4420.83837890625"
"92160","44","44","44","4732.9111328125","4732.9111328125","4732.9111328125","44","44","44","4438.39501953125","4438.39501953125","4438.39501953125"
"94208","45","45","45","4733.814453125","4733.814453125","4733.814453125","45","45","45","4459.18359375","4459.18359375","4459.18359375"
"96256","46","46","46","4761.21875","4761.21875","4761.21875","46","46","46","4476.04541015625","4476.04541015625","4476.04541015625"
"98304","47","47","47","4771.62939453125","4771.62939453125","4771.62939453125","47","47","47","4496.50830078125","4496.50830078125","4496.50830078125"
"100352","48","48","48","4770.736328125","4770.736328125","4770.736328125","48","48","48","4529.10791015625","4529.10791015625","4529.10791015625"
"102400","49","49","49","4769.9013671875","4769.9013671875","4769.9013671875","49","49","49","4565.2353515625","4565.2353515625","4565.2353515625"
"104448","50","50","50","4762.36474609375","4762.36474609375","4762.36474609375","50","50","50","4591.234375","4591.234375","4591.234375"
"106496","51","51","51","4758.0869140625","4758.0869140625","4758.0869140625","51","51","51","4607.2041015625","4607.2041015625","4607.2041015625"
"108544","52","52","52","4751.53955078125","4751.53955078125","4751.53955078125","52","52","52","4644.2587890625","4644.2587890625","4644.2587890625"
"110592","53","53","53","4748.92138671875","4748.92138671875","4748.92138671875","53","53","53","4669.95458984375","4669.95458984375","4669.95458984375"
"112640","54","54","54","4745.92822265625","4745.92822265625","4745.92822265625","54","54","54","4684.00439453125","4684.00439453125","4684.00439453125"
"114688","55","55","55","4744.2451171875","4744.2451171875","4744.2451171875","55","55","55","4711.7626953125","4711.7626953125","4711.7626953125"
"116736","56","56","56","4741.95654296875","4741.95654296875","4741.95654296875","56","56","56","4721.42041015625","4721.42041015625","4721.42041015625"
"118784","57","57","57","4741.03369140625","4741.03369140625","4741.03369140625","57","57","57","4728.03125","4728.03125","4728.03125"
"120832","58","58","58","4740.548828125","4740.548828125","4740.548828125","58","58","58","4734.9384765625","4734.9384765625","4734.9384765625"
"122880","59","59","59","4741.42529296875","4741.42529296875","4741.42529296875","59","59","59","4740.34619140625","4740.34619140625","4740.34619140625"
"124928","60","60","60","4740.6171875","4740.6171875","4740.6171875","60","60","60","4750.48828125","4750.48828125","4750.48828125"
"126976","61","61","61","4741.3857421875","4741.3857421875","4741.3857421875","61","61","61","4759.6318359375","4759.6318359375","4759.6318359375"
"129024","62","62","62","4741.29541015625","4741.29541015625","4741.29541015625","62","62","62","4768.578125","4768.578125","4768.578125"
"131072","63","63","63","4741.5107421875","4741.5107421875","4741.5107421875","63","63","63","4773.24072265625","4773.24072265625","4773.24072265625"
"133120","64","64","64","4742.20751953125","4742.20751953125","4742.20751953125","64","64","64","4777.82763671875","4777.82763671875","4777.82763671875"
"135168","65","65","65","4742.7529296875","4742.7529296875","4742.7529296875","65","65","65","4782.6982421875","4782.6982421875","4782.6982421875"
"137216","66","66","66","4744.29736328125","4744.29736328125","4744.29736328125","66","66","66","4784.19140625","4784.19140625","4784.19140625"
"139264","67","67","67","4745.619140625","4745.619140625","4745.619140625","67","67","67","4784.615234375","4784.615234375","4784.615234375"
